FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
R1O2G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/26/19,70,8.5,1.952795598,0.000229741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1P3P4,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/26/19,58,4.6,1.75734239,0.000382031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3O5G6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/26/19,67,7.5,1.51546712,0.000202062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1O5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/26/19,67,8,2.286251461,0.000285781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1O2R4,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/26/19,79,13.1,2.609353571,0.000199187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2R4P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/26/19,64,7,1.75098294,0.00025014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2G4R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/26/19,62,5.1,1.703554866,0.00033403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2O4O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/26/19,61,5.1,1.52288657,0.000298605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2O3P6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/27/19,66,5.6,1.344955321,0.000240171,6/27/19,67,6.4,1.591201113,248.625174,66,5.6,5/3/19,33.1,67,6.4,7/11/19,41.19,7/30/19,71,7.6,0.01,NA,NA,NA,NA,26.66929008,17.17570187,7.085997166,5.564518046
P2R3P6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/27/19,67,7.1,2.767483818,0.000389786,6/14/19,66,7.6,5.362093436,0.000705539,67,7.1,5/3/19,34.01,66,7.6,7/3/19,41.18,7/29/19,68,9,0.009,NA,NA,NA,NA,33.82213231,17.99513378,9.685546477,14.15270417
